fips,area_type,year,average_unemployment_rate
01,State,1976,6.8
01,State,1977,7.3
01,State,1978,6.4
01,State,1979,7.2
01,State,1980,8.9
01,State,1981,10.5
01,State,1982,14.1
01,State,1983,13.8
01,State,1984,11.0
01,State,1985,9.2
01,State,1986,9.7
01,State,1987,8.1
01,State,1988,7.2
01,State,1989,7.0
01,State,1990,6.8
01,State,1991,7.3
01,State,1992,7.6
01,State,1993,7.3
01,State,1994,6.2
01,State,1995,6.0
01,State,1996,5.2
01,State,1997,5.0
01,State,1998,4.4
01,State,1999,4.7
01,State,2000,4.6
01,State,2001,5.1
01,State,2002,5.9
01,State,2003,6.0
01,State,2004,5.7
01,State,2005,4.5
01,State,2006,4.0
01,State,2007,4.0
01,State,2008,5.7
01,State,2009,11.0
01,State,2010,10.5
01,State,2011,9.6
01,State,2012,8.0
01,State,2013,7.2
01,State,2014,6.8
01,State,2015,6.1
01,State,2016,6.0
01001,County,1990,6.5
01001,County,1991,6.8
01001,County,1992,6.5
01001,County,1993,6.0
01001,County,1994,5.0
01001,County,1995,5.8
01001,County,1996,3.9
01001,County,1997,3.9
01001,County,1998,3.1
01001,County,1999,3.8
01001,County,2000,4.0
01001,County,2001,4.1
01001,County,2002,4.8
01001,County,2003,5.0
01001,County,2004,4.8
01001,County,2005,3.8
01001,County,2006,3.3
01001,County,2007,3.3
01001,County,2008,5.1
01001,County,2009,9.7
01001,County,2010,8.9
01001,County,2011,8.4
01001,County,2012,6.9
01001,County,2013,6.2
01001,County,2014,5.9
01001,County,2015,5.2
01001,County,2016,5.3
01003,County,1990,5.2
01003,County,1991,5.5
01003,County,1992,6.3
01003,County,1993,6.0
01003,County,1994,4.9
01003,County,1995,4.8
01003,County,1996,4.5
01003,County,1997,3.5
01003,County,1998,2.8
01003,County,1999,3.3
01003,County,2000,3.7
01003,County,2001,4.3
01003,County,2002,5.0
01003,County,2003,5.0
01003,County,2004,5.2
01003,County,2005,4.0
01003,County,2006,3.2
01003,County,2007,3.1
01003,County,2008,4.6
01003,County,2009,9.8
01003,County,2010,10.0
01003,County,2011,9.0
01003,County,2012,7.5
01003,County,2013,6.6
01003,County,2014,6.2
01003,County,2015,5.5
01003,County,2016,5.5
01005,County,1990,7.8
01005,County,1991,8.8
01005,County,1992,10.8
01005,County,1993,10.1
01005,County,1994,6.4
01005,County,1995,8.3
01005,County,1996,9.6
01005,County,1997,7.4
01005,County,1998,4.9
01005,County,1999,4.8
01005,County,2000,5.5
01005,County,2001,7.4
01005,County,2002,7.7
01005,County,2003,7.1
01005,County,2004,7.2
01005,County,2005,5.8
01005,County,2006,5.7
01005,County,2007,6.3
01005,County,2008,8.8
01005,County,2009,14.3
01005,County,2010,12.4
01005,County,2011,11.5
01005,County,2012,11.5
01005,County,2013,10.3
01005,County,2014,10.6
01005,County,2015,8.9
01005,County,2016,8.7
01007,County,1990,9.0
01007,County,1991,11.9
01007,County,1992,11.1
01007,County,1993,11.6
01007,County,1994,7.7
01007,County,1995,6.7
01007,County,1996,7.2
01007,County,1997,7.5
01007,County,1998,7.0
01007,County,1999,6.8
01007,County,2000,5.3
01007,County,2001,6.7
01007,County,2002,7.0
01007,County,2003,6.0
01007,County,2004,5.5
01007,County,2005,4.5
01007,County,2006,4.2
01007,County,2007,4.1
01007,County,2008,5.8
01007,County,2009,13.2
01007,County,2010,11.4
01007,County,2011,10.5
01007,County,2012,8.5
01007,County,2013,7.9
01007,County,2014,7.2
01007,County,2015,6.6
01007,County,2016,6.7
01009,County,1990,6.3
01009,County,1991,5.8
01009,County,1992,6.2
01009,County,1993,5.3
01009,County,1994,4.2
01009,County,1995,4.5
01009,County,1996,3.3
01009,County,1997,3.0
01009,County,1998,3.3
01009,County,1999,2.8
01009,County,2000,3.5
01009,County,2001,3.6
01009,County,2002,5.4
01009,County,2003,4.6
01009,County,2004,4.2
01009,County,2005,3.6
01009,County,2006,3.2
01009,County,2007,3.2
01009,County,2008,4.7
01009,County,2009,10.0
01009,County,2010,9.8
01009,County,2011,8.7
01009,County,2012,6.9
01009,County,2013,6.3
01009,County,2014,6.2
01009,County,2015,5.4
01009,County,2016,5.6
01011,County,1990,12.4
01011,County,1991,18.8
01011,County,1992,15.0
01011,County,1993,14.8
01011,County,1994,14.3
01011,County,1995,16.8
01011,County,1996,14.5
01011,County,1997,10.4
01011,County,1998,10.4
01011,County,1999,10.0
01011,County,2000,8.4
01011,County,2001,9.9
01011,County,2002,10.2
01011,County,2003,11.0
01011,County,2004,11.6
01011,County,2005,9.5
01011,County,2006,8.9
01011,County,2007,9.4
01011,County,2008,10.5
01011,County,2009,15.6
01011,County,2010,11.8
01011,County,2011,11.6
01011,County,2012,10.4
01011,County,2013,9.4
01011,County,2014,8.8
01011,County,2015,7.8
01011,County,2016,6.6
01013,County,1990,12.8
01013,County,1991,12.2
01013,County,1992,12.2
01013,County,1993,10.9
01013,County,1994,9.0
01013,County,1995,8.5
01013,County,1996,9.2
01013,County,1997,9.9
01013,County,1998,10.9
01013,County,1999,13.7
01013,County,2000,7.8
01013,County,2001,7.5
01013,County,2002,7.9
01013,County,2003,8.7
01013,County,2004,9.5
01013,County,2005,6.5
01013,County,2006,5.7
01013,County,2007,6.2
01013,County,2008,8.5
01013,County,2009,16.4
01013,County,2010,13.7
01013,County,2011,12.5
01013,County,2012,11.5
01013,County,2013,10.3
01013,County,2014,8.6
01013,County,2015,7.5
01013,County,2016,7.3
01015,County,1990,7.1
01015,County,1991,7.7
01015,County,1992,8.9
01015,County,1993,8.7
01015,County,1994,7.8
01015,County,1995,7.9
01015,County,1996,6.3
01015,County,1997,5.5
01015,County,1998,4.7
01015,County,1999,5.1
01015,County,2000,5.0
01015,County,2001,5.5
01015,County,2002,6.0
01015,County,2003,6.0
01015,County,2004,5.5
01015,County,2005,4.5
01015,County,2006,4.1
01015,County,2007,3.9
01015,County,2008,5.7
01015,County,2009,11.1
01015,County,2010,11.4
01015,County,2011,10.3
01015,County,2012,8.9
01015,County,2013,8.8
01015,County,2014,8.0
01015,County,2015,7.0
01015,County,2016,6.8
01017,County,1990,7.2
01017,County,1991,10.0
01017,County,1992,8.0
01017,County,1993,9.6
01017,County,1994,8.2
01017,County,1995,7.4
01017,County,1996,5.2
01017,County,1997,4.6
01017,County,1998,4.2
01017,County,1999,4.7
01017,County,2000,4.4
01017,County,2001,5.4
01017,County,2002,6.7
01017,County,2003,6.4
01017,County,2004,7.0
01017,County,2005,5.7
01017,County,2006,5.8
01017,County,2007,6.5
01017,County,2008,14.4
01017,County,2009,19.6
01017,County,2010,14.9
01017,County,2011,12.0
01017,County,2012,9.9
01017,County,2013,8.0
01017,County,2014,6.7
01017,County,2015,6.0
01017,County,2016,5.8
01019,County,1990,9.8
01019,County,1991,8.6
01019,County,1992,7.1
01019,County,1993,6.3
01019,County,1994,6.3
01019,County,1995,6.4
01019,County,1996,4.4
01019,County,1997,4.1
01019,County,1998,4.3
01019,County,1999,4.9
01019,County,2000,4.5
01019,County,2001,4.5
01019,County,2002,4.7
01019,County,2003,4.9
01019,County,2004,4.8
01019,County,2005,4.4
01019,County,2006,4.2
01019,County,2007,4.2
01019,County,2008,5.7
01019,County,2009,11.7
01019,County,2010,10.6
01019,County,2011,9.7
01019,County,2012,8.0
01019,County,2013,6.6
01019,County,2014,5.8
01019,County,2015,5.4
01019,County,2016,5.2
01021,County,1990,8.9
01021,County,1991,10.0
01021,County,1992,10.1
01021,County,1993,8.9
01021,County,1994,7.0
01021,County,1995,6.3
01021,County,1996,4.9
01021,County,1997,4.9
01021,County,1998,4.5
01021,County,1999,3.8
01021,County,2000,4.3
01021,County,2001,4.8
01021,County,2002,5.1
01021,County,2003,5.0
01021,County,2004,4.7
01021,County,2005,3.9
01021,County,2006,3.6
01021,County,2007,3.4
01021,County,2008,5.1
01021,County,2009,10.6
01021,County,2010,10.3
01021,County,2011,9.1
01021,County,2012,7.2
01021,County,2013,6.6
01021,County,2014,6.3
01021,County,2015,5.7
01021,County,2016,5.8
01023,County,1990,12.5
01023,County,1991,10.5
01023,County,1992,11.5
01023,County,1993,14.3
01023,County,1994,11.3
01023,County,1995,10.4
01023,County,1996,14.0
01023,County,1997,14.5
01023,County,1998,11.2
01023,County,1999,9.2
01023,County,2000,6.5
01023,County,2001,7.1
01023,County,2002,8.8
01023,County,2003,10.0
01023,County,2004,8.6
01023,County,2005,6.6
01023,County,2006,5.6
01023,County,2007,5.9
01023,County,2008,8.3
01023,County,2009,13.5
01023,County,2010,13.3
01023,County,2011,13.1
01023,County,2012,10.3
01023,County,2013,9.2
01023,County,2014,9.0
01023,County,2015,9.1
01023,County,2016,9.1
01025,County,1990,8.1
01025,County,1991,9.5
01025,County,1992,13.0
01025,County,1993,12.0
01025,County,1994,9.1
01025,County,1995,10.4
01025,County,1996,9.0
01025,County,1997,9.9
01025,County,1998,8.8
01025,County,1999,8.6
01025,County,2000,7.3
01025,County,2001,9.7
01025,County,2002,9.1
01025,County,2003,8.6
01025,County,2004,8.9
01025,County,2005,6.4
01025,County,2006,6.2
01025,County,2007,6.1
01025,County,2008,9.0
01025,County,2009,16.6
01025,County,2010,19.9
01025,County,2011,18.8
01025,County,2012,15.0
01025,County,2013,13.8
01025,County,2014,12.2
01025,County,2015,11.8
01025,County,2016,11.4
01027,County,1990,7.0
01027,County,1991,9.7
01027,County,1992,6.8
01027,County,1993,10.4
01027,County,1994,5.7
01027,County,1995,5.6
01027,County,1996,4.9
01027,County,1997,4.6
01027,County,1998,3.6
01027,County,1999,5.4
01027,County,2000,6.1
01027,County,2001,6.0
01027,County,2002,6.2
01027,County,2003,7.3
01027,County,2004,6.4
01027,County,2005,5.0
01027,County,2006,4.5
01027,County,2007,5.5
01027,County,2008,7.9
01027,County,2009,16.7
01027,County,2010,14.5
01027,County,2011,11.8
01027,County,2012,9.4
01027,County,2013,8.4
01027,County,2014,7.2
01027,County,2015,6.1
01027,County,2016,6.2
01029,County,1990,6.5
01029,County,1991,7.3
01029,County,1992,6.6
01029,County,1993,6.7
01029,County,1994,4.4
01029,County,1995,5.6
01029,County,1996,4.4
01029,County,1997,3.5
01029,County,1998,3.7
01029,County,1999,4.3
01029,County,2000,4.0
01029,County,2001,5.2
01029,County,2002,5.0
01029,County,2003,6.1
01029,County,2004,5.3
01029,County,2005,4.0
01029,County,2006,3.5
01029,County,2007,3.7
01029,County,2008,5.1
01029,County,2009,10.2
01029,County,2010,10.0
01029,County,2011,9.7
01029,County,2012,8.2
01029,County,2013,7.7
01029,County,2014,6.6
01029,County,2015,6.0
01029,County,2016,6.3
01031,County,1990,6.3
01031,County,1991,6.5
01031,County,1992,6.0
