fips,area_type,year,average_seasonally_adjusted_unemployment_rate
01,State,1976,6.8
01,State,1977,7.3
01,State,1978,6.3
01,State,1979,7.2
01,State,1980,8.9
01,State,1981,10.5
01,State,1982,14.1
01,State,1983,13.8
01,State,1984,11.0
01,State,1985,9.1
01,State,1986,9.7
01,State,1987,8.0
01,State,1988,7.2
01,State,1989,7.0
01,State,1990,6.8
01,State,1991,7.4
01,State,1992,7.6
01,State,1993,7.4
01,State,1994,6.2
01,State,1995,5.9
01,State,1996,5.2
01,State,1997,5.0
01,State,1998,4.4
01,State,1999,4.7
01,State,2000,4.6
01,State,2001,5.2
01,State,2002,5.9
01,State,2003,6.0
01,State,2004,5.7
01,State,2005,4.5
01,State,2006,4.0
01,State,2007,4.0
01,State,2008,5.9
01,State,2009,11.1
01,State,2010,10.5
01,State,2011,9.5
01,State,2012,8.0
01,State,2013,7.2
01,State,2014,6.7
01,State,2015,6.1
01,State,2016,6.1
02,State,1976,7.5
02,State,1977,9.9
02,State,1978,10.6
02,State,1979,9.3
02,State,1980,9.6
02,State,1981,9.4
02,State,1982,10.0
02,State,1983,9.9
02,State,1984,9.9
02,State,1985,9.7
02,State,1986,10.9
02,State,1987,10.3
02,State,1988,8.8
02,State,1989,7.0
02,State,1990,7.2
02,State,1991,8.5
02,State,1992,8.9
02,State,1993,7.7
02,State,1994,7.6
02,State,1995,7.3
02,State,1996,7.6
02,State,1997,7.1
02,State,1998,6.4
02,State,1999,6.5
02,State,2000,6.4
02,State,2001,6.4
02,State,2002,7.3
02,State,2003,7.8
02,State,2004,7.4
02,State,2005,6.9
02,State,2006,6.6
02,State,2007,6.4
02,State,2008,6.7
02,State,2009,7.7
02,State,2010,7.9
02,State,2011,7.6
02,State,2012,7.1
02,State,2013,6.9
02,State,2014,6.9
02,State,2015,6.5
02,State,2016,6.6
04,State,1976,9.7
04,State,1977,8.2
04,State,1978,6.0
04,State,1979,5.1
04,State,1980,6.7
04,State,1981,6.2
04,State,1982,10.1
04,State,1983,8.8
04,State,1984,5.2
04,State,1985,6.4
04,State,1986,6.9
04,State,1987,6.4
04,State,1988,6.4
04,State,1989,5.4
04,State,1990,5.3
04,State,1991,6.0
04,State,1992,7.6
04,State,1993,6.4
04,State,1994,6.1
04,State,1995,5.4
04,State,1996,5.6
04,State,1997,4.6
04,State,1998,4.3
04,State,1999,4.4
04,State,2000,3.9
04,State,2001,4.8
04,State,2002,6.1
04,State,2003,5.8
04,State,2004,5.0
04,State,2005,4.6
04,State,2006,4.1
04,State,2007,3.9
04,State,2008,6.2
04,State,2009,10.2
04,State,2010,10.4
04,State,2011,9.4
04,State,2012,8.3
04,State,2013,7.5
04,State,2014,6.7
04,State,2015,6.1
04,State,2016,5.6
05,State,1976,7.0
05,State,1977,6.4
05,State,1978,6.2
05,State,1979,6.2
05,State,1980,7.6
05,State,1981,8.8
05,State,1982,9.9
05,State,1983,9.8
05,State,1984,8.7
05,State,1985,8.7
05,State,1986,8.6
05,State,1987,8.1
05,State,1988,7.6
05,State,1989,7.0
05,State,1990,6.9
05,State,1991,7.4
05,State,1992,7.1
05,State,1993,6.1
05,State,1994,5.4
05,State,1995,4.8
05,State,1996,5.2
05,State,1997,5.2
05,State,1998,5.2
05,State,1999,4.6
05,State,2000,4.3
05,State,2001,5.0
05,State,2002,5.5
05,State,2003,5.9
05,State,2004,5.7
05,State,2005,5.2
05,State,2006,5.2
05,State,2007,5.3
05,State,2008,5.5
05,State,2009,7.9
05,State,2010,8.2
05,State,2011,8.2
05,State,2012,7.5
05,State,2013,7.2
05,State,2014,6.0
05,State,2015,5.2
05,State,2016,4.0
06,State,1976,9.1
06,State,1977,8.3
06,State,1978,7.2
06,State,1979,6.2
06,State,1980,6.9
06,State,1981,7.4
06,State,1982,10.0
06,State,1983,9.8
06,State,1984,7.8
06,State,1985,7.2
06,State,1986,6.7
06,State,1987,5.8
06,State,1988,5.3
06,State,1989,5.1
06,State,1990,5.8
06,State,1991,7.8
06,State,1992,9.3
06,State,1993,9.4
06,State,1994,8.6
06,State,1995,7.9
06,State,1996,7.3
06,State,1997,6.3
06,State,1998,5.9
06,State,1999,5.2
06,State,2000,4.9
06,State,2001,5.5
06,State,2002,6.7
06,State,2003,6.8
06,State,2004,6.2
06,State,2005,5.4
06,State,2006,4.9
06,State,2007,5.4
06,State,2008,7.5
06,State,2009,11.2
06,State,2010,12.1
06,State,2011,11.6
06,State,2012,10.3
06,State,2013,8.8
06,State,2014,7.5
06,State,2015,6.3
06,State,2016,5.4
08,State,1976,5.8
08,State,1977,6.4
08,State,1978,5.5
08,State,1979,4.7
08,State,1980,5.8
08,State,1981,5.7
08,State,1982,7.4
08,State,1983,7.1
08,State,1984,5.4
08,State,1985,6.1
08,State,1986,7.5
08,State,1987,7.5
08,State,1988,6.5
08,State,1989,5.6
08,State,1990,5.2
08,State,1991,5.3
08,State,1992,6.0
08,State,1993,5.3
08,State,1994,4.2
08,State,1995,4.0
08,State,1996,4.2
08,State,1997,3.4
08,State,1998,3.6
08,State,1999,3.1
08,State,2000,2.7
08,State,2001,3.8
08,State,2002,5.6
08,State,2003,6.0
08,State,2004,5.5
08,State,2005,4.9
08,State,2006,4.2
08,State,2007,3.8
08,State,2008,4.9
08,State,2009,7.6
08,State,2010,8.8
08,State,2011,8.3
08,State,2012,7.8
08,State,2013,6.7
08,State,2014,4.9
08,State,2015,3.8
08,State,2016,3.3
09,State,1976,9.3
09,State,1977,7.0
09,State,1978,5.2
09,State,1979,5.2
09,State,1980,5.8
09,State,1981,6.2
09,State,1982,6.9
09,State,1983,6.0
09,State,1984,4.6
09,State,1985,4.7
09,State,1986,3.8
09,State,1987,3.3
09,State,1988,3.0
09,State,1989,3.8
09,State,1990,5.1
09,State,1991,6.6
09,State,1992,7.5
09,State,1993,6.6
09,State,1994,5.6
09,State,1995,5.5
09,State,1996,5.5
09,State,1997,5.0
09,State,1998,3.4
09,State,1999,2.9
09,State,2000,2.4
09,State,2001,3.1
09,State,2002,4.4
09,State,2003,5.4
09,State,2004,5.0
09,State,2005,4.9
09,State,2006,4.3
09,State,2007,4.5
09,State,2008,5.7
09,State,2009,8.1
09,State,2010,9.1
09,State,2011,8.8
09,State,2012,8.3
09,State,2013,7.7
09,State,2014,6.6
09,State,2015,5.6
09,State,2016,5.7
10,State,1976,8.8
10,State,1977,8.5
10,State,1978,7.4
10,State,1979,7.2
10,State,1980,7.6
10,State,1981,7.8
10,State,1982,8.4
10,State,1983,7.7
10,State,1984,6.3
10,State,1985,5.1
10,State,1986,4.3
10,State,1987,3.1
10,State,1988,3.1
10,State,1989,3.5
10,State,1990,4.7
10,State,1991,6.2
10,State,1992,5.4
10,State,1993,5.1
10,State,1994,4.8
10,State,1995,4.3
10,State,1996,5.1
10,State,1997,4.0
10,State,1998,3.7
10,State,1999,3.4
10,State,2000,3.8
10,State,2001,3.5
10,State,2002,4.0
10,State,2003,4.2
10,State,2004,4.0
10,State,2005,4.1
10,State,2006,3.6
10,State,2007,3.4
10,State,2008,5.0
10,State,2009,8.3
10,State,2010,8.4
10,State,2011,7.5
10,State,2012,7.2
10,State,2013,6.7
10,State,2014,5.7
10,State,2015,4.9
10,State,2016,4.4
11,State,1976,9.0
11,State,1977,9.2
11,State,1978,8.3
11,State,1979,7.0
11,State,1980,7.4
11,State,1981,8.9
11,State,1982,10.4
11,State,1983,11.2
11,State,1984,9.2
11,State,1985,8.1
11,State,1986,7.5
11,State,1987,6.3
11,State,1988,5.0
11,State,1989,4.9
11,State,1990,6.3
11,State,1991,7.8
11,State,1992,8.6
11,State,1993,8.5
11,State,1994,8.0
11,State,1995,8.8
11,State,1996,8.4
11,State,1997,8.0
11,State,1998,8.4
11,State,1999,6.4
11,State,2000,5.6
11,State,2001,6.4
11,State,2002,6.4
11,State,2003,6.8
11,State,2004,7.8
11,State,2005,6.4
11,State,2006,5.8
11,State,2007,5.6
11,State,2008,6.5
11,State,2009,9.3
11,State,2010,9.4
11,State,2011,10.1
11,State,2012,9.0
11,State,2013,8.5
11,State,2014,7.7
11,State,2015,6.9
11,State,2016,6.3
12,State,1976,9.1
12,State,1977,8.2
12,State,1978,6.7
12,State,1979,5.9
12,State,1980,6.1
12,State,1981,6.7
12,State,1982,8.5
12,State,1983,8.5
12,State,1984,6.4
12,State,1985,6.0
12,State,1986,5.8
12,State,1987,5.3
12,State,1988,5.1
12,State,1989,5.6
12,State,1990,6.1
12,State,1991,7.6
12,State,1992,8.2
12,State,1993,7.1
12,State,1994,6.4
12,State,1995,5.5
12,State,1996,5.1
12,State,1997,4.8
12,State,1998,4.3
12,State,1999,3.9
12,State,2000,3.7
12,State,2001,4.7
12,State,2002,5.6
12,State,2003,5.2
12,State,2004,4.6
12,State,2005,3.7
12,State,2006,3.2
12,State,2007,4.1
12,State,2008,6.5
12,State,2009,10.5
12,State,2010,10.9
12,State,2011,9.8
12,State,2012,8.4
12,State,2013,7.1
12,State,2014,6.2
12,State,2015,5.3
12,State,2016,4.8
13,State,1976,8.2
13,State,1977,6.9
13,State,1978,5.7
13,State,1979,5.1
13,State,1980,6.4
13,State,1981,6.4
13,State,1982,7.8
13,State,1983,7.8
13,State,1984,6.1
13,State,1985,6.4
13,State,1986,6.0
13,State,1987,5.7
13,State,1988,5.7
13,State,1989,5.5
13,State,1990,5.5
13,State,1991,5.2
13,State,1992,6.9
13,State,1993,6.0
13,State,1994,5.2
13,State,1995,4.8
13,State,1996,4.7
13,State,1997,4.5
13,State,1998,4.3
13,State,1999,3.9
13,State,2000,3.6
13,State,2001,4.0
13,State,2002,5.0
13,State,2003,4.8
13,State,2004,4.8
13,State,2005,5.3
13,State,2006,4.7
13,State,2007,4.6
13,State,2008,6.5
13,State,2009,10.0
13,State,2010,10.4
13,State,2011,10.1
13,State,2012,9.0
13,State,2013,8.0
13,State,2014,7.0
13,State,2015,5.8
13,State,2016,5.3
15,State,1976,9.4
15,State,1977,7.8
15,State,1978,7.1
15,State,1979,6.1
15,State,1980,5.1
15,State,1981,5.4
15,State,1982,6.3
15,State,1983,6.2
15,State,1984,5.7
15,State,1985,5.4
15,State,1986,4.8
15,State,1987,3.8
15,State,1988,3.2
15,State,1989,2.5
15,State,1990,2.7
15,State,1991,2.9
15,State,1992,4.3
15,State,1993,4.5
15,State,1994,5.5
15,State,1995,5.9
15,State,1996,6.3
15,State,1997,6.2
15,State,1998,6.1
15,State,1999,5.4
15,State,2000,4.3
15,State,2001,4.5
15,State,2002,4.2
15,State,2003,4.1
15,State,2004,3.4
15,State,2005,2.9
15,State,2006,2.6
15,State,2007,2.8
15,State,2008,4.3
15,State,2009,7.1
