fips,area_type,year,month,seasonally_adjusted_unemployment_rate,labor_force
01,State,1976,01,6.9,1492841
01,State,1976,02,6.7,1491228
01,State,1976,03,6.6,1490111
01,State,1976,04,6.5,1489832
01,State,1976,05,6.4,1490813
01,State,1976,06,6.5,1493479
01,State,1976,07,6.6,1497891
01,State,1976,08,6.8,1503037
01,State,1976,09,6.9,1507970
01,State,1976,10,7.0,1512978
01,State,1976,11,7.2,1518788
01,State,1976,12,7.3,1525952
01,State,1977,01,7.5,1534729
01,State,1977,02,7.7,1544517
01,State,1977,03,7.8,1554229
01,State,1977,04,7.9,1562856
01,State,1977,05,7.8,1569381
01,State,1977,06,7.6,1573608
01,State,1977,07,7.4,1576013
01,State,1977,08,7.1,1577895
01,State,1977,09,6.9,1580076
01,State,1977,10,6.8,1582552
01,State,1977,11,6.7,1585449
01,State,1977,12,6.6,1588568
01,State,1978,01,6.5,1591992
01,State,1978,02,6.4,1596007
01,State,1978,03,6.2,1600927
01,State,1978,04,6.1,1606990
01,State,1978,05,6.0,1614158
01,State,1978,06,6.0,1621687
01,State,1978,07,6.1,1628813
01,State,1978,08,6.2,1634818
01,State,1978,09,6.4,1639286
01,State,1978,10,6.5,1642674
01,State,1978,11,6.6,1645399
01,State,1978,12,6.7,1647653
01,State,1979,01,6.8,1649697
01,State,1979,02,6.9,1651460
01,State,1979,03,7.1,1652855
01,State,1979,04,7.2,1653867
01,State,1979,05,7.3,1654821
01,State,1979,06,7.3,1656083
01,State,1979,07,7.3,1657732
01,State,1979,08,7.3,1659794
01,State,1979,09,7.2,1662307
01,State,1979,10,7.2,1664778
01,State,1979,11,7.2,1666639
01,State,1979,12,7.2,1668045
01,State,1980,01,7.3,1668881
01,State,1980,02,7.5,1669140
01,State,1980,03,7.8,1669306
01,State,1980,04,8.3,1669407
01,State,1980,05,8.8,1669409
01,State,1980,06,9.2,1669584
01,State,1980,07,9.5,1670085
01,State,1980,08,9.7,1670930
01,State,1980,09,9.7,1672144
01,State,1980,10,9.7,1673839
01,State,1980,11,9.6,1675860
01,State,1980,12,9.6,1677933
01,State,1981,01,9.6,1679545
01,State,1981,02,9.7,1680358
01,State,1981,03,9.8,1679778
01,State,1981,04,9.9,1677915
01,State,1981,05,10.0,1675698
01,State,1981,06,10.1,1674084
01,State,1981,07,10.3,1673920
01,State,1981,08,10.6,1675560
01,State,1981,09,11.0,1678518
01,State,1981,10,11.4,1682114
01,State,1981,11,11.8,1685756
01,State,1981,12,12.2,1689366
01,State,1982,01,12.5,1693114
01,State,1982,02,12.8,1697275
01,State,1982,03,13.1,1701856
01,State,1982,04,13.4,1706574
01,State,1982,05,13.6,1710932
01,State,1982,06,13.9,1714872
01,State,1982,07,14.3,1718855
01,State,1982,08,14.6,1723198
01,State,1982,09,15.0,1728107
01,State,1982,10,15.3,1733035
01,State,1982,11,15.5,1737048
01,State,1982,12,15.5,1739203
01,State,1983,01,15.4,1739682
01,State,1983,02,15.2,1739648
01,State,1983,03,14.9,1740607
01,State,1983,04,14.5,1743787
01,State,1983,05,14.2,1749353
01,State,1983,06,14.0,1756289
01,State,1983,07,13.7,1762935
01,State,1983,08,13.5,1767800
01,State,1983,09,13.2,1770195
01,State,1983,10,12.8,1770504
01,State,1983,11,12.5,1770196
01,State,1983,12,12.2,1770492
01,State,1984,01,11.9,1772147
01,State,1984,02,11.6,1775294
01,State,1984,03,11.4,1779853
01,State,1984,04,11.3,1785247
01,State,1984,05,11.2,1790561
01,State,1984,06,11.1,1794584
01,State,1984,07,11.0,1796571
01,State,1984,08,10.9,1796805
01,State,1984,09,10.7,1795959
01,State,1984,10,10.5,1795137
01,State,1984,11,10.3,1795290
01,State,1984,12,10.1,1796675
01,State,1985,01,10.0,1798706
01,State,1985,02,9.8,1800249
01,State,1985,03,9.6,1800370
01,State,1985,04,9.4,1799103
01,State,1985,05,9.2,1797394
01,State,1985,06,9.0,1796511
01,State,1985,07,8.9,1797328
01,State,1985,08,8.8,1799992
01,State,1985,09,8.7,1804464
01,State,1985,10,8.7,1810692
01,State,1985,11,8.7,1818327
01,State,1985,12,8.9,1827022
01,State,1986,01,9.2,1836432
01,State,1986,02,9.5,1845942
01,State,1986,03,9.8,1854401
01,State,1986,04,10.0,1860825
01,State,1986,05,10.0,1864746
01,State,1986,06,9.9,1866736
01,State,1986,07,9.8,1867790
01,State,1986,08,9.8,1868700
01,State,1986,09,9.7,1869878
01,State,1986,10,9.7,1871114
01,State,1986,11,9.6,1871712
01,State,1986,12,9.5,1871712
01,State,1987,01,9.3,1870982
01,State,1987,02,9.0,1869508
01,State,1987,03,8.7,1868046
01,State,1987,04,8.4,1867158
01,State,1987,05,8.1,1867184
01,State,1987,06,7.9,1868052
01,State,1987,07,7.7,1869577
01,State,1987,08,7.6,1871377
01,State,1987,09,7.6,1873082
01,State,1987,10,7.5,1874137
01,State,1987,11,7.4,1874248
01,State,1987,12,7.4,1873268
01,State,1988,01,7.2,1871462
01,State,1988,02,7.1,1869939
01,State,1988,03,7.0,1869261
01,State,1988,04,7.0,1869705
01,State,1988,05,7.0,1871178
01,State,1988,06,7.0,1873623
01,State,1988,07,7.1,1876913
01,State,1988,08,7.2,1881061
01,State,1988,09,7.3,1885657
01,State,1988,10,7.4,1889897
01,State,1988,11,7.4,1893382
01,State,1988,12,7.4,1895531
01,State,1989,01,7.2,1896418
01,State,1989,02,7.1,1896259
01,State,1989,03,7.1,1895863
01,State,1989,04,7.1,1896072
01,State,1989,05,7.1,1897150
01,State,1989,06,7.2,1898746
01,State,1989,07,7.2,1899929
01,State,1989,08,7.1,1900090
01,State,1989,09,7.0,1899240
01,State,1989,10,6.9,1898347
01,State,1989,11,6.8,1898052
01,State,1989,12,6.7,1899008
01,State,1990,01,6.7,1901334
